,Population,WLR
0,20153634,0.5182014205986808
1,13310447,0.622894633764199
2,6657982,0.625
3,9512999,0.4583333333333333
4,7233323,0.5675675675675675
5,6131977,0.6533333333333333
6,6070500,0.6176470588235294
7,4794447,0.7142857142857143
8,3551036,0.6338028169014085
9,2853077,0.589041095890411
10,6066387,0.5945945945945946
11,4661537,0.4142857142857143
12,4297617,0.43478260869565216
13,5928040,0.6533333333333333
14,3032171,0.7012987012987013
15,2342299,0.618421052631579
16,2807002,0.5789473684210527
17,1865298,0.7464788732394366
18,1132804,0.35714285714285715
19,4098927,0.42028985507246375
20,2463431,0.43661971830985913
21,2041520,0.6
22,1392609,0.5138888888888888
23,1323783,0.39436619718309857
24,1321426,0.47368421052631576
25,778489,0.7222222222222222
26,2155664,0.68
27,1302946,0.5070422535211268
