,Population,WLR
0,20153634,0.3475609756097561
1,13310447,0.4695121951219512
2,6657982,0.7073170731707317
3,9512999,0.32926829268292684
4,7233323,0.2926829268292683
5,6131977,0.524390243902439
6,6070500,0.6341463414634146
7,4794447,0.6707317073170732
8,3551036,0.573170731707317
9,2853077,0.5609756097560976
10,6066387,0.5365853658536586
11,4661537,0.25609756097560976
12,4297617,0.47560975609756095
13,5928040,0.7195121951219512
14,6772470,0.7926829268292683
15,5789700,0.2926829268292683
16,2055612,0.6097560975609756
17,2474314,0.43902439024390244
18,2004230,0.5853658536585366
19,1572482,0.5365853658536586
20,1268883,0.5853658536585366
21,2441257,0.3048780487804878
22,2424955,0.5975609756097561
23,1186187,0.5853658536585366
24,2429609,0.573170731707317
25,2296418,0.32926829268292684
26,1373211,0.5853658536585366
27,1342842,0.2682926829268293
